銘柄,月,分配金(配当)
AGG,2024-04,0.2902
AGG,2024-03,0.2862
AGG,2024-02,0.2933
SPAB,2024-04,0.0794
SPAB,2024-03,0.0782
SPAB,2024-02,0.0770
SPTS,2024-04,0.1044
SPTS,2024-03,0.0995
SPTS,2024-02,0.1025
VGSH,2024-04,0.2019
VGSH,2024-03,0.1927
VGSH,2024-02,0.1976
SHV,2024-04,0.4819
SHV,2024-03,0.4477
SHV,2024-02,0.4733
SHY,2024-04,0.2705
SHY,2024-03,0.2405
SHY,2024-02,0.2421
VGIT,2024-04,0.1762
VGIT,2024-03,0.1496
VGIT,2024-02,0.1674
IEF,2024-04,0.2758
IEF,2024-03,0.2492
IEF,2024-02,0.2358
JPST,2024-04,0.2205
JPST,2024-03,0.2140
JPST,2024-02,0.2186
SPTI,2024-04,0.0877
SPTI,2024-03,0.0810
SPTI,2024-02,0.0858
VGLT,2024-04,0.1998
VGLT,2024-03,0.1758
VGLT,2024-02,0.1879
SPTL,2024-04,0.0883
SPTL,2024-03,0.0818
SPTL,2024-02,0.0895
EDV,2024-04,0.7685
TLT,2024-04,0.3124
TLT,2024-03,0.2952
TLT,2024-02,0.3101
SPSB,2024-04,0.1193
SPSB,2024-03,0.1128
SPSB,2024-02,0.1158
VCSH,2024-04,0.2479
VCSH,2024-03,0.2290
VCSH,2024-02,0.2340
BNDX,2024-04,0.0913
BNDX,2024-03,0.0851
BNDX,2024-02,0.0859
PFFD,2024-04,0.1050
PFFD,2024-03,0.1050
PFFD,2024-02,0.1050
PFFV,2024-04,0.1330
PFFV,2024-03,0.1330
PFFV,2024-02,0.1330
JNK,2024-04,0.5086
JNK,2024-03,0.5287
JNK,2024-02,0.5321
SJNK,2024-04,0.1580
SJNK,2024-03,0.1587
SJNK,2024-02,0.1549
SPHY,2024-04,0.1537
SPHY,2024-03,0.1560
SPHY,2024-02,0.1603
IVV,2024-03,1.6653
SPLG,2024-03,0.2024
SPY,2024-03,1.5949
VOO,2024-03,1.5429
SPIB,2024-04,0.1191
SPIB,2024-03,0.1171
SPIB,2024-02,0.1100
VCIT,2024-04,0.2944
VCIT,2024-03,0.2732
VCIT,2024-02,0.2810
SPLB,2024-04,0.0957
SPLB,2024-03,0.0958
SPLB,2024-02,0.0951
VCLT,2024-04,0.3181
VCLT,2024-03,0.2865
VCLT,2024-02,0.3398
BWX,2024-04,0.0361
BWX,2024-03,0.0356
BWX,2024-02,0.0376
EBND,2024-04,0.0993
EBND,2024-03,0.0910
EBND,2024-02,0.1009
ELD,2024-03,0.1200
ELD,2024-02,0.1200
ELD,2024-01,0.1200
SPFF,2024-04,0.0460
SPFF,2024-03,0.0460
SPFF,2024-02,0.0460
PFF,2024-04,0.1561
PFF,2024-03,0.1703
PFF,2024-02,0.1765
VTIP,2024-04,0.0267
FLRN,2024-04,0.1535
FLRN,2024-03,0.1434
FLRN,2024-02,0.1526
IGSB,2024-04,0.1653
IGSB,2024-03,0.1623
IGSB,2024-02,0.1515
IGIB,2024-04,0.1870
IGIB,2024-03,0.1764
IGIB,2024-02,0.1779
IGLB,2024-04,0.2066
IGLB,2024-03,0.2100
IGLB,2024-02,0.2082
FSIG,2024-04,0.0725
FSIG,2024-03,0.0725
FSIG,2024-02,0.0725
LQD,2024-04,0.4107
LQD,2024-03,0.3932
LQD,2024-02,0.3886
USIG,2024-04,0.1853
USIG,2024-03,0.1840
USIG,2024-02,0.1766
FTSL,2024-03,0.3000
FTSL,2024-02,0.3000
FTSL,2024-01,0.3075
SRLN,2024-04,0.3065
SRLN,2024-03,0.2944
SRLN,2024-02,0.3200
FCVT,2024-03,0.0400
FCVT,2024-02,0.0400
FCVT,2024-01,0.0400
CWB,2024-04,0.0997
CWB,2024-03,0.1257
CWB,2024-02,0.0904
VTI,2024-03,0.9105
SPTM,2024-03,0.2069
SPYG,2024-03,0.1065
VOOG,2024-03,0.3014
SPYV,2024-03,0.2556
VOOV,2024-03,0.7863
OEF,2024-03,0.7436
MGC,2024-03,0.5800
VV,2024-03,0.8223
VOT,2024-03,0.4085
VUG,2024-03,0.4676